ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability,Month,Year
3.716080075,204.8904555,20791.31898,7.300211873,368.5164413,564.3086542,10.37978308,86.99097046,2.963135381,0,9,2009
8.099124189,129.4229205,18630.05786,6.635245884,356.8861356,592.8853591,15.18001312,56.32907628,4.500656275,0,2,2020
8.316765884,224.2362594,19909.54173,9.275883603,310.1357375,418.6062131,16.86863693,66.42009251,3.05593375,0,12,2014
9.092223456,214.3733941,22018.41744,8.059332377,326.6783629,363.2665162,18.4365245,100.3416744,4.628770537,0,7,2008
5.584086638,181.1015092,17978.98634,6.546599974,393.6633955,398.4108134,11.55827944,31.99799273,4.075075425,0,7,2008
10.22386216,188.3133238,28748.68774,7.544868789,303.3097712,280.4679159,8.39973464,54.91786184,2.559708228,0,7,2009
8.635848719,248.0717353,28749.71654,7.513408466,268.6469407,283.6516335,13.78969532,84.60355617,2.672988737,0,4,2015
11.18028447,203.3615226,13672.09176,4.563008686,404.0416347,474.6076449,12.3638167,62.79830896,4.401424715,0,4,2008
7.360640106,118.9885791,14285.58385,7.804173553,326.6243535,389.3755659,12.70604897,53.92884577,3.595017181,0,8,2015
7.974521649,227.2314692,25484.50849,9.077200017,282.3440505,563.8854815,17.92780641,71.97660103,4.370561937,0,8,2017
7.119824384,165.5207973,32452.61441,7.550700907,299.4157813,425.3834195,15.58681044,78.74001566,3.662291783,0,12,2012
7.496232208,218.6933005,18767.65668,8.110384501,364.4876872,364.0982305,14.5257457,76.48591118,4.011718108,0,3,2019
6.347271761,156.7049933,18730.81365,3.606036091,398.3505168,347.7150273,15.92953591,79.50077834,3.445756223,0,1,2013
7.0517858,150.1749234,27331.36196,6.838223471,335.7544386,379.7618348,19.37080718,76.50999553,4.413974183,0,10,2011
9.181560007,205.3449822,28388.00489,5.072557774,310.9308583,444.6453523,13.2283111,70.30021265,4.777382337,0,10,2007
8.975464348,186.7328807,41065.23476,9.629596276,326.9439777,516.7432819,11.53978119,75.07161729,4.376348291,0,9,2014
7.371050302,211.0494061,30980.60079,10.09479601,328.3582407,315.1412672,20.39702184,56.65160379,4.268428858,0,7,2015
6.660212026,273.8138067,24041.32628,6.904989726,323.596349,477.9746419,13.38734078,71.45736221,4.503660796,0,12,2013
3.902475686,279.3571668,19460.39813,6.204320859,384.0070058,431.44399,12.88875905,63.8212371,2.43608559,0,4,2019
5.400301781,214.4966105,25630.32004,4.43266929,304.0019928,469.9145515,12.50916394,62.79727715,2.560299148,0,3,2011
6.514415093,227.4350484,22305.56741,10.33391789,395.3894903,554.8200865,16.33169328,45.38281518,4.133422644,0,12,2022
3.445061864,168.2837469,30944.36359,5.858769131,307.0117926,523.6712975,17.88423519,77.04231805,3.749701241,0,3,2017
7.181448581,215.9778587,17107.22423,5.607060453,338.3364311,436.256194,14.18906221,59.85547583,5.459250956,0,10,2017
9.825489908,196.9032467,21167.5001,6.996311586,307.7075086,444.4788825,16.60903316,90.18167588,4.528522696,0,12,2015
10.43329098,140.7390623,17266.59342,10.05685248,387.1753165,472.8740733,11.25638117,56.93190645,4.82478639,0,2,2008
7.414148196,198.7673513,21218.70287,8.67093692,323.8363839,413.2904501,14.89999957,79.84784281,5.200885077,0,1,2012
5.115817064,207.9262602,33424.76868,8.782147481,286.059556,441.7858757,13.80590221,30.2845972,4.184396969,0,11,2012
3.641629777,145.7681806,13224.93564,7.906444721,328.0775332,298.9906665,12.72952472,49.5368488,4.004871128,0,2,2013
5.618064406,266.4210181,26362.96501,7.70006347,309.0393204,364.4801067,10.34895076,53.00838135,3.991564248,0,1,2019
9.267187531,148.1530614,15193.41347,9.046832707,316.6751618,563.8047433,16.56865557,52.67618503,6.038184953,0,1,2019
5.331940479,209.6256005,15196.22999,5.994678646,385.9756505,342.1112863,7.922598333,71.53795326,5.088859989,0,3,2019
7.145771545,190.7566183,19677.89247,6.757540731,337.3505291,452.8362349,16.8990378,47.08197119,2.857472426,0,9,2008
9.920691059,117.7912296,22326.89205,8.161504811,315.6065944,412.9868338,12.89070856,65.73347839,5.057310517,0,12,2012
4.758439425,235.0445345,32555.85254,6.845952024,307.3525858,411.9833642,10.24481507,44.48929725,3.160624468,0,11,2010
5.702925977,232.280452,14787.20626,5.474914832,304.5352242,383.981723,12.16693715,86.08072748,5.029166724,0,1,2011
6.953864226,191.952743,19620.54533,6.060712995,317.8829005,441.7483793,10.96648615,49.23823132,3.902088768,0,3,2017
10.68296643,183.9087223,24752.07246,5.538314133,299.8204779,456.8600959,9.034066753,73.59465676,3.464353035,0,4,2021
8.757257397,304.2359121,17281.97517,6.101083505,247.200826,399.4715663,12.26500158,81.58899246,2.896546941,0,10,2022
